b,r,c
"(:Blog {path: /blogs/posts/floor-paintings-of-india, title: FLOOR PAINTINGS OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-rajasthan, title: Artwork of Rajasthan})"
"(:Blog {path: /blogs/posts/the-art-of-kantha, title: The Art of Kantha})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-west-bengal, title: Original folk art of West Bengal})"
"(:Blog {path: /blogs/posts/kathaa-2021-stories-from-india-on-hong-kong-walls-second-edition, title: KATHAA 2021 - Stories from India on Hong Kong Walls, second edition})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/masterpieces-handpainted-by-master-artists-across-india, title: Masterpieces, handpainted by Master Artists across India})"
"(:Blog {path: /blogs/posts/mughal-miniatures, title: Mughal Miniatures})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/masterpieces-handpainted-by-master-artists-across-india, title: Masterpieces, handpainted by Master Artists across India})"
"(:Blog {path: /blogs/posts/gustav-klimt-and-the-echoes-of-indian-folk-tribal-arts-a-dialogue-across-time, title: Gustav Klimt and the Echoes of Indian Folk & Tribal Arts: A Dialogue Across Time})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/masterpieces-handpainted-by-master-artists-across-india, title: Masterpieces, handpainted by Master Artists across India})"
"(:Blog {path: /blogs/posts/krishna-s-wisdom-on-love-best-quotes-and-their-artistic-echoes, title: Krishna’s Wisdom on Love: Best Quotes and Their Artistic Echoes})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kerala-mural, title: Kerala Mural Paintings})"
"(:Blog {path: /blogs/posts/vahanas-and-their-meaning-divine-mounts-in-indian-art-forms, title: Vahanas and Their Meaning: Divine Mounts in Indian Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kerala-mural, title: Kerala Mural Paintings})"
"(:Blog {path: /blogs/posts/blossoming-across-traditions-flowers-in-indian-art, title: Blossoming Across Traditions: Flowers in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kerala-mural, title: Kerala Mural Paintings})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kerala-mural, title: Kerala Mural Paintings})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/brihadisvara-temple-unmasking-the-dual-murals-and-their-time-traversing-essence, title: Brihadisvara Temple: Unmasking the Dual Murals and their Time-Traversing Essence})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/development-of-indian-miniature-paintings-of-the-rajput-style, title: Development of Indian miniature paintings of the Rajput style})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/the-tales-of-lord-krishna-stories-for-kids, title: The Tales of Lord Krishna: Stories for Kids})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/blossoming-across-traditions-flowers-in-indian-art, title: Blossoming Across Traditions: Flowers in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/themes-and-motifs-of-thanjavur-art, title: Themes and Motifs of Thanjavur Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/chitrakathi-storytelling-tradition-of-india, title: Chitrakathi Storytelling Tradition of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/tanjore-paintings-a-beautiful-amalgamation-of-art-and-craft, title: Tanjore paintings, a beautiful amalgamation of art and craft})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-tamil-nadu, title: Traditional Artwork of Tamil Nadu})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/lippan-kaam, title: Lippan Art: The Traditional Mud and Mirror Work of Kutch})"
"(:Blog {path: /blogs/posts/indian-blue-pottery, title: Indian Blue Pottery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/lippan-kaam, title: Lippan Art: The Traditional Mud and Mirror Work of Kutch})"
"(:Blog {path: /blogs/posts/shiva-and-parvati-symbol-of-love-and-devotion-and-power, title: Shiva and Parvati : Symbol of love and devotion and power})",[:RELATED_COLLECTION {overlap: 10}],"(:Collection {path: /collections/shiv-and-parvati-paintings, title: Shiv and Parvati Paintings, Lord Shiva Paintings & Artworks})"
"(:Blog {path: /blogs/posts/portrayal-of-christianity-in-traditional-indian-artforms, title: Portrayal of Christianity in Traditional Indian Artforms})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/shiv-and-parvati-paintings, title: Shiv and Parvati Paintings, Lord Shiva Paintings & Artworks})"
"(:Blog {path: /blogs/posts/kashmiri-papier-mache-the-story-of-an-exceptional-art, title: Kashmiri Papier Mache: The Story of an Exceptional Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/shiv-and-parvati-paintings, title: Shiv and Parvati Paintings, Lord Shiva Paintings & Artworks})"
"(:Blog {path: /blogs/posts/kalighat-paintings-the-satirical-pop-art-of-19th-century-kolkata, title: Kalighat Paintings: The Satirical Pop Art of 19th-century Kolkata})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/shiv-and-parvati-paintings, title: Shiv and Parvati Paintings, Lord Shiva Paintings & Artworks})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/shiv-and-parvati-paintings, title: Shiv and Parvati Paintings, Lord Shiva Paintings & Artworks})"
"(:Blog {path: /blogs/posts/15-inspiring-lakshmi-and-ganesha-painting-ideas-for-diwali, title: 15 inspiring Lakshmi and Ganesha painting ideas for Diwali})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/iconography-of-skanda-or-kartikeya, title: Iconography of Skanda or Kartikeya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/brihadisvara-temple-unmasking-the-dual-murals-and-their-time-traversing-essence, title: Brihadisvara Temple: Unmasking the Dual Murals and their Time-Traversing Essence})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/development-of-indian-miniature-paintings-of-the-rajput-style, title: Development of Indian miniature paintings of the Rajput style})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/portrayal-of-christianity-in-traditional-indian-artforms, title: Portrayal of Christianity in Traditional Indian Artforms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/themes-and-motifs-of-thanjavur-art, title: Themes and Motifs of Thanjavur Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/a-comparative-study-of-mysore-and-tanjore-paintings, title: A Comparative Study of Mysore and Tanjore Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/chitrakathi-storytelling-tradition-of-india, title: Chitrakathi Storytelling Tradition of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tanjore, title: Tanjore Artwork})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/creating-a-folk-feature-wall-gond-art, title: Creating a Folk Feature Wall: Gond Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/gond-art-residing-in-the-heart-of-india, title: Gond Art Residing in the Heart of India})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/mapping-indias-folk-music-styles, title: India's Folk Music Styles: A Map})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/arts-and-crafts-of-chhattisgarh, title: Arts and Crafts of Chhattisgarh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/the-gond-community-an-overview, title: The Gond Community: An Overview})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/majuli-mask-painting, title: Majuli Mask Painting})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/the-evolution-of-gond-painting-from-walls-to-paper, title: The Evolution of Gond Painting From Walls to Paper})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/why-tribal-art-matters, title: Why Tribal Art Matters})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/decor-ideas-for-infusing-your-childrens-room-with-indigenous-art-and-10-ways-this-will-help-them, title: Decor ideas for infusing your children's room with indigenous art and 10 ways this will help them!})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/vidya-soni, title: Vidya Soni})"
"(:Blog {path: /blogs/posts/creating-a-folk-feature-wall-gond-art, title: Creating a Folk Feature Wall: Gond Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/warli-paintings, title: Warli Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/warli-paintings, title: Warli Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/mapping-indias-folk-music-styles, title: India's Folk Music Styles: A Map})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/warli-paintings, title: Warli Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/traversing-india-s-folk-and-tribal-legacies, title: Traversing India’s Folk and Tribal Legacies})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/warli-paintings, title: Warli Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/decor-ideas-for-infusing-your-childrens-room-with-indigenous-art-and-10-ways-this-will-help-them, title: Decor ideas for infusing your children's room with indigenous art and 10 ways this will help them!})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/warli-paintings, title: Warli Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/the-process-of-kalamkari-explained, title: The Process of Kalamkari Explained})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/famous-kalamkari-paintings-and-artists, title: Famous Kalamkari Paintings and Artists})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/machilipatnam-kalamkari-the-timeless-art-of-block-printing, title: Machilipatnam Kalamkari: The Timeless Art of Block Printing})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-odisha, title: Traditional Art of Odisha})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/the-ritual-art-of-pithora-wall-paintings, title: The Ritual Art Of Pithora Wall Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/the-crafts-of-gudi-padwa, title: The Crafts of Gudi Padwa})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/molela-terracotta-craft, title: Molela Terracotta: A Rajasthani Craft})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/seeking-meanings-reading-symbolic-motifs-in-mandana, title: Seeking Meanings: Reading Symbolic Motifs in Mandana})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/kokna-tribe-masks, title: Kokna Tribe Masks})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/the-role-of-clay-in-preserving-adivasi-heritage, title: The Role of Clay Art in Preserving India's Intangible Adivasi Heritage})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/why-tribal-art-matters, title: Why Tribal Art Matters})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /pages/artforms, title: Artforms})"
"(:Blog {path: /blogs/posts/mapping-indias-folk-music-styles, title: India's Folk Music Styles: A Map})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/krishna-leela-a-janmashtami-painting-collection, title: Krishna Leela: A Janmashtami Painting Collection 2024})"
"(:Blog {path: /blogs/posts/the-gond-community-an-overview, title: The Gond Community: An Overview})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/krishna-leela-a-janmashtami-painting-collection, title: Krishna Leela: A Janmashtami Painting Collection 2024})"
"(:Blog {path: /blogs/posts/comparative-analysis-of-prehistoric-indian-art-and-tribal-art-from-bhimbetka-to-gond-warli, title: Comparative Analysis of Prehistoric Indian Art and Tribal Art: From Bhimbetka to Gond & Warli})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/krishna-leela-a-janmashtami-painting-collection, title: Krishna Leela: A Janmashtami Painting Collection 2024})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/krishna-leela-a-janmashtami-painting-collection, title: Krishna Leela: A Janmashtami Painting Collection 2024})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/siva-reddy, title: K Siva Prasad Reddy})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/tales-of-three-devis-stories-for-kids, title: Tales of Three Devis: Stories for Kids})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/traditional-masks-of-india, title: Traditional Masks of India})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/development-of-indian-miniature-paintings-of-the-rajput-style, title: Development of Indian miniature paintings of the Rajput style})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/the-tales-of-lord-krishna-stories-for-kids, title: The Tales of Lord Krishna: Stories for Kids})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/unfurling-a-world-of-wonder-a-journey-into-bengal-pattachitra, title: Unfurling a world of wonder: A journey into Bengal Pattachitra})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/the-mud-work-of-kutch-lippan, title: The Mud Work of Kutch: Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/chau-mask, title: Chhau Mask})"
